method,duration,bias,error,relArea,cost,tau_p,tau_v
KDE,1,-1700822.786,-0.9036,0.096406747,0.349208117,86164.091,3600
KDE,1,-1653577.709,-0.8785,0.121495648,0.328608751,86164.091,3600
KDE,1,-1798324.58,-0.9554,0.044630046,0.14061594,86164.091,3600
KDE,1,-1727362.85,-0.9177,0.082280141,0.302960634,86164.091,3600
KDE,1,-1536876.721,-0.8165,0.183522744,0.122017622,86164.091,3600
KDE,1,-1748820.773,-0.9291,0.070880474,0.13820219,86164.091,3600
KDE,1,-1720210.209,-0.9139,0.086113718,0.319728136,86164.091,3600
KDE,1,-1666377.172,-0.8853,0.114687838,0.300172806,86164.091,3600
KDE,1,-1573581.064,-0.836,0.164035212,0.122877359,86164.091,3600
KDE,1,-1350343.368,-0.7174,0.282563729,0.354630947,86164.091,3600
KDE,1,-1749950.138,-0.9297,0.070335263,0.349306822,86164.091,3600
KDE,1,-1585627.618,-0.8424,0.157639894,0.323192835,86164.091,3600
KDE,1,-1651130.753,-0.8772,0.122768261,0.108166933,86164.091,3600
KDE,1,-1633625.605,-0.8679,0.132110148,0.137115002,86164.091,3600
KDE,1,-1718139.707,-0.9128,0.08719596,0.347147465,86164.091,3600
KDE,1,-1362389.921,-0.7238,0.276221115,0.326254129,86164.091,3600
KDE,1,-1583745.344,-0.8414,0.158561995,0.310034275,86164.091,3600
KDE,1,-1621955.506,-0.8617,0.13834492,0.14680481,86164.091,3600
KDE,1,-1716445.661,-0.9119,0.088120072,0.342030287,86164.091,3600
KDE,1,-1613108.818,-0.857,0.142989862,0.127524614,86164.091,3600
KDE,1,-1593533.168,-0.8466,0.153398274,0.304813385,86164.091,3600
KDE,1,-1555511.234,-0.8264,0.173564595,0.132364273,86164.091,3600
KDE,1,-1570192.971,-0.8342,0.165816739,0.347833872,86164.091,3600
KDE,1,-1783454.615,-0.9475,0.052539815,0.122825384,86164.091,3600
KDE,1,-1539135.45,-0.8177,0.182284749,0.301143646,86164.091,3600
KDE,1,-1468738.402,-0.7803,0.219748236,0.305537224,86164.091,3600
KDE,1,-1681435.364,-0.8933,0.106696363,0.121694565,86164.091,3600
KDE,1,-1773290.335,-0.9421,0.057924201,0.120929003,86164.091,3600
KDE,1,-1710422.384,-0.9087,0.091270791,0.133695126,86164.091,3600
KDE,1,-1649060.251,-0.8761,0.123881312,0.344893694,86164.091,3600
KDE,1,-1767643.513,-0.9391,0.060884841,0.327137709,86164.091,3600
KDE,1,-1464973.854,-0.7783,0.221746231,0.392427206,86164.091,3600
KDE,1,-1650754.298,-0.877,0.123004547,0.322957516,86164.091,3600
KDE,1,-1584874.708,-0.842,0.158027214,0.301602364,86164.091,3600
KDE,1,-1528030.033,-0.8118,0.188207981,0.140818357,86164.091,3600
KDE,1,-1736209.538,-0.9224,0.077598454,0.140482426,86164.091,3600
KDE,1,-1509771.975,-0.8021,0.197917438,0.122460365,86164.091,3600
KDE,1,-1711363.521,-0.9092,0.090787698,0.305776358,86164.091,3600
KDE,1,-1703269.743,-0.9049,0.095110907,0.135607958,86164.091,3600
KDE,1,-1353355.006,-0.719,0.281044933,0.124841213,86164.091,3600
KDE,1,-1724915.894,-0.9164,0.083631239,0.303839684,86164.091,3600
KDE,1,-1595603.67,-0.8477,0.152330651,0.126666546,86164.091,3600
KDE,1,-1594850.76,-0.8473,0.15270618,0.327297211,86164.091,3600
KDE,1,-1777243.111,-0.9442,0.055825586,0.358014107,86164.091,3600
KDE,1,-1727551.077,-0.9178,0.082190381,0.114762545,86164.091,3600
KDE,1,-1696870.011,-0.9015,0.098476262,0.125533104,86164.091,3600
KDE,1,-1780442.977,-0.9459,0.054122575,0.147507429,86164.091,3600
KDE,1,-1655648.21,-0.8796,0.12042599,0.123395681,86164.091,3600
KDE,1,-1620826.141,-0.8611,0.138854097,0.132340431,86164.091,3600
KDE,1,-1526900.669,-0.8112,0.188800908,0.313705921,86164.091,3600
KDE,1,-1762373.146,-0.9363,0.06373924,0.302018642,86164.091,3600
KDE,1,-1743362.179,-0.9262,0.073800539,0.317954063,86164.091,3600
KDE,1,-1509771.975,-0.8021,0.197879998,0.130575657,86164.091,3600
KDE,1,-1653389.482,-0.8784,0.121603876,0.303778887,86164.091,3600
KDE,1,-1675600.315,-0.8902,0.109762438,0.123107195,86164.091,3600
KDE,1,-1612167.681,-0.8565,0.143475771,0.123999596,86164.091,3600
KDE,1,-1673153.359,-0.8889,0.111116906,0.138496161,86164.091,3600
KDE,1,-1550617.321,-0.8238,0.176175083,0.332817554,86164.091,3600
KDE,1,-1744115.088,-0.9266,0.073372732,0.314144135,86164.091,3600
KDE,1,-1234395.289,-0.6558,0.344185596,0.322633743,86164.091,3600
KDE,1,-1485490.641,-0.7892,0.210801205,0.127450705,86164.091,3600
KDE,1,-1713245.795,-0.9102,0.089767259,0.327893734,86164.091,3600
KDE,1,-1387612.393,-0.7372,0.26277463,0.128674507,86164.091,3600
KDE,1,-1717575.025,-0.9125,0.087538808,0.306972504,86164.091,3600
